"网站地图 URL","类型","来源","上次提交时间","上次处理时间","状态","已发现的 URL 数"
"https://pixcloak.com/sitemap.xml","Sitemap","Submitted","2025/10/27","2025/10/31","Success","90"
"https://pixcloak.com/guides/sitemap.xml","Sitemap","Submitted","2025/10/27","2025/10/27","Success","129"
